mu,e_bin,rho_crit_HW99_p1,rho_p1,e_p1,inc_p_deg_p1,megno_median_p1,megno_std_p1,e_p_free_p1,e_p_forced_p1,a_p_std_p1,rho_p2,e_p2,inc_p_deg_p2,megno_median_p2,megno_std_p2,e_p_free_p2,e_p_forced_p2,a_p_std_p2,period_ratio_p2_p1,initial_separation_au,init_mutual_inc_deg,mmr_flag_2_1,mmr_flag_3_2,stable
0.3680008799639246,0.03866906384008562,0.3022385162629427,0.20814879251752472,0.05019750714477872,11.138208053061778,47.74788672655024,11.314049721863762,1.0227557562734837,0.045469233453833954,20.717935017104963,0.25627774945480053,0.061303430017664466,5.279500605110403,47.74788672655024,11.314049721863762,0.9173530829468095,0.06991596933824103,37.724752110425854,18.66146033564835,0.48128956937275813,163.55538059080425,0,0,0
0.1536440192980032,0.28152900118806057,0.25122358793360305,0.14963929912731488,0.008077014818407424,32.98766830518442,48.73749701288452,10.312821766753586,0.7532104633584477,0.04343128119514831,1449.1605423264225,0.16878866943682605,0.0818220262011794,14.792833962639211,48.73749701288452,10.312821766753586,0.7732476980168616,0.056066318338798715,11.280388450231866,5.844710030350521,0.1914937030951116,55.15326179510157,0,0,0
0.8487914797850967,0.08561596238900963,0.10033495014654466,0.05235422048186456,0.033495735659577607,20.753183371216526,261.7660677713951,73.0463518654973,2.225738556815429,0.1546980556368043,226.30532283565918,0.06489828919566432,0.07232955002341147,7.030041466565886,261.7660677713951,73.0463518654973,1.9275671712094118,0.25685577829749484,211.58609706974053,nan,0.1254406871379975,8.870851105458556,0,0,0
0.6921724368095197,0.22063591927864615,0.09726477428379347,0.06337858108229084,0.1655045777002086,26.52370185187458,54.561513042779865,15.307142956302075,2.3171894563308375,0.6811430965720852,53.42687953827584,0.08615537863934337,0.00716701340094992,22.73450182223702,54.561513042779865,15.307142956302075,1.892038372482649,0.19412011847951408,60.187559851545615,nan,0.2277679755705253,133.61680113626963,0,0,0
0.3119610969201576,0.4210955542972863,0.13942588441230763,0.07390624440657749,0.0936191298990413,21.274844016426055,53.74629469328196,13.48308775607122,1.8916495979201897,0.5326861986691542,9.787885123438967,0.09325810271903509,0.13214461044039347,28.49688893865299,53.74629469328196,13.48308775607122,1.4522100661873119,0.14771863459995835,25.684778548700464,nan,0.19351858312457604,45.716268097819544,0,0,0
0.2559851527267484,0.4700729754611427,0.13688882502047703,0.06975725858828642,0.01223085299435213,32.0745550429765,29.305310661453085,7.762312991074879,1.7196310417764533,0.6578846086019264,45.380342605006526,0.09511674965788544,0.2539059309964912,5.437532337123656,29.305310661453085,7.762312991074879,1.4044978125507712,0.2774021236119291,43.08277081584525,nan,0.25359491069599016,157.89553467165976,0,0,0
0.2993540026574062,0.02509513130406552,0.3356785839410585,0.1763004762412952,0.287986038679175,24.39170463372978,12.087141520432574,3.4729398311806445,0.9490649198154611,0.011389983359850716,28.707879627090804,0.267333241494075,0.02160160203886923,22.82560138531084,12.087141520432574,3.4729398311806445,0.863826052523057,0.013234257316281231,21.09438301275353,0.7647627383268704,0.9103276525277981,78.43273201427769,0,0,1
0.3705765274034991,0.24468977853534093,0.19619048932450267,0.06049328528990149,0.14313861324066876,26.403307657757306,168.014253588617,35.103758672139605,2.4518960001845977,0.4755833132192089,22.743477367815643,0.07410270878299458,0.06571679575112226,7.4178513903993135,168.014253588617,35.103758672139605,1.944979351997179,0.17420157448613963,29.191170314962076,nan,0.13609423493093087,32.68502118261537,0,0,0
0.4565312226813574,0.004719888053626408,0.28786840835945515,0.15907731603345593,0.24767099732166903,12.424179912391669,66.84564181790645,21.772338602902206,1.1984733786504118,0.11696226226412805,37.521541308509924,0.20624416005351903,0.02559954775272409,22.2512304042829,66.84564181790645,21.772338602902206,1.0683279078994685,0.11239363438507197,38.17187139177488,nan,0.4716684402006308,8.989380036616662,0,0,0
0.404159631529622,0.11825299470827985,0.2462367974391181,0.1309061260324785,0.12517846281853934,34.891692657199414,3.0408382570016443,0.3508946408549399,1.2459716954697122,0.03138162514319656,459.2716097504787,0.211991449345458,0.010069301483012938,11.61101402225111,3.0408382570016443,0.3508946408549399,1.0574985082332313,0.05429748891143569,25.291740448292106,nan,0.8108532331297948,12.48673886816145,0,0,1
0.5451461854544793,0.27774917639374175,0.12327228428205834,0.08489634393785173,0.15015836431272495,17.625155921323294,43.28382687912955,12.646041590618276,1.8548850007491402,0.02864699004466042,96.2116381352966,0.10860832393850027,0.011943709167866752,31.138522397549895,43.28382687912955,12.646041590618276,1.6051707992638824,0.24564853569265466,30.101640650431445,nan,0.23711980000648536,126.66989381383758,0,0,0
0.12891911804678094,0.4930315911091613,0.16432956621398026,0.11484267184036737,0.14554981818811524,36.23982194218668,36.359132989828254,8.863857577495304,0.8164007239294344,0.1241892330656778,8.271066650110795,0.14676206790280233,0.0036089751451803534,29.700921968121573,36.359132989828254,8.863857577495304,0.7548045766495072,0.0460942422283676,22.51391735396386,16.49462346823894,0.3191939606243497,18.600837133654437,0,0,0
